timestep,r_perf,r_cost,r_energy,latency,replicas,avg_cpu_percent,ram_usage,num_requests,total_cpu_m,total_ram_mi,success_ratio,pod_power,hpa_target
929,1.0,-2.45,-0.25034437,0.018,49.0,55.88889,0.0,116.0,5030.0,4346.0,1.0,25.034437,70.0
930,1.0,-2.45,-0.252578,0.0179,49.0,56.133335,0.0,94.0,5052.0,4347.0,1.0,25.2578,10.0
931,1.0,-2.45,-0.25210324,0.0181,49.0,57.4,0.0,128.0,5166.0,4347.0,1.0,25.210325,70.0
932,1.0,-2.45,-0.25065032,0.018,49.0,57.4,0.0,117.0,5166.0,4347.0,1.0,25.065031,10.0
933,1.0,-2.45,-0.2513875,0.0178,49.0,56.77778,0.0,110.0,5110.0,4346.0,1.0,25.13875,90.0
934,1.0,-2.45,-0.25184104,0.0179,49.0,56.566666,0.0,103.0,5091.0,4346.0,1.0,25.184103,90.0
935,1.0,-2.45,-0.2514275,0.0179,49.0,57.133335,0.0,113.0,5142.0,4346.0,1.0,25.14275,10.0
936,1.0,-2.45,-0.2516279,0.0181,49.0,57.47778,0.0,106.0,5173.0,4346.0,1.0,25.16279,90.0
937,1.0,-2.45,-0.25145623,0.018,49.0,55.988888,0.0,112.0,5039.0,4347.0,1.0,25.145622,90.0
938,1.0,-2.45,-0.2515049,0.0178,49.0,56.41111,0.0,115.0,5077.0,4346.0,1.0,25.15049,10.0
939,1.0,-2.45,-0.25240102,0.0179,49.0,55.988888,0.0,98.0,5039.0,4348.0,1.0,25.240103,50.0
940,1.0,-2.45,-0.25160056,0.0181,49.0,55.877777,0.0,117.0,5029.0,4348.0,1.0,25.160057,30.0
941,1.0,-2.45,-0.25096956,0.0178,49.0,55.855556,0.0,120.0,5027.0,4346.0,1.0,25.096956,90.0
942,1.0,-2.45,-0.2520383,0.0178,49.0,55.61111,0.0,113.0,5005.0,4347.0,1.0,25.203829,90.0
943,1.0,-2.45,-0.25127625,0.0181,49.0,55.788887,0.0,110.0,5021.0,4346.0,1.0,25.127625,10.0
944,1.0,-2.45,-0.25169376,0.0181,49.0,56.666668,0.0,116.0,5100.0,4346.0,1.0,25.169374,30.0
945,1.0,-2.45,-0.25157794,0.0181,49.0,57.044445,0.0,114.0,5134.0,4347.0,1.0,25.157793,70.0
946,1.0,-2.45,-0.25027898,0.0173,49.0,56.877777,0.0,48.0,5119.0,4346.0,1.0,25.027897,90.0
947,1.0,-2.45,-0.25082287,0.0181,49.0,55.955555,0.0,56.0,5036.0,4348.0,1.0,25.082287,30.0
948,1.0,-2.45,-0.25136998,0.018,49.0,56.622223,0.0,64.0,5096.0,4346.0,1.0,25.137,30.0
949,1.0,-2.45,-0.25158086,0.0179,49.0,55.711113,0.0,76.0,5014.0,4347.0,1.0,25.158087,90.0
950,1.0,-2.45,-0.25163993,0.0181,49.0,56.211113,0.0,51.0,5059.0,4346.0,1.0,25.163994,70.0
951,1.0,-2.45,-0.25135887,0.0151,49.0,55.144444,0.0,42.0,4963.0,4348.0,1.0,25.135885,50.0
952,1.0,-2.45,-0.24687275,0.0036,49.0,15.133333,0.0,8.0,1362.0,4346.0,1.0,24.687275,30.0
953,1.0,-2.45,-0.25074077,0.0144,49.0,55.166668,0.0,40.0,4965.0,4346.0,1.0,25.074078,50.0
954,1.0,-2.45,-0.25191212,0.0179,49.0,55.855556,0.0,58.0,5027.0,4348.0,1.0,25.191212,90.0
955,1.0,-2.45,-0.24739322,0.0041,49.0,19.788889,0.0,10.0,1781.0,4346.0,1.0,24.739323,90.0
956,1.0,-2.45,-0.2514101,0.0178,49.0,55.58889,0.0,67.0,5003.0,4346.0,1.0,25.14101,30.0
957,1.0,-2.45,-0.25147325,0.0121,49.0,54.8,0.0,33.0,4932.0,4346.0,1.0,25.147326,50.0
958,1.0,-2.45,-0.25154334,0.0179,49.0,56.744446,0.0,106.0,5107.0,4348.0,1.0,25.154335,50.0
959,1.0,-2.45,-0.25197676,0.018,49.0,56.377777,0.0,92.0,5074.0,4346.0,1.0,25.197676,50.0
960,1.0,-2.45,-0.25023463,0.018,49.0,56.4,0.0,140.0,5076.0,4346.0,1.0,25.023462,70.0
961,1.0,-2.45,-0.25100043,0.0179,49.0,56.144444,0.0,136.0,5053.0,4346.0,1.0,25.100044,30.0
962,1.0,-2.45,-0.2517537,0.0178,49.0,55.844444,0.0,107.0,5026.0,4346.0,1.0,25.17537,10.0
963,1.0,-2.45,-0.2507928,0.0179,49.0,55.666668,0.0,105.0,5010.0,4346.0,1.0,25.07928,30.0
964,1.0,-2.45,-0.25065538,0.018,49.0,55.855556,0.0,116.0,5027.0,4346.0,1.0,25.065538,90.0
965,1.0,-2.45,-0.2519244,0.0183,49.0,54.711113,0.0,115.0,4924.0,4347.0,1.0,25.192438,10.0
966,1.0,-2.45,-0.25156513,0.0181,49.0,55.577778,0.0,105.0,5002.0,4346.0,1.0,25.156513,30.0
967,1.0,-2.45,-0.25118124,0.0181,49.0,54.944443,0.0,105.0,4945.0,4346.0,1.0,25.118126,70.0
968,1.0,-2.45,-0.2513614,0.018,49.0,55.166668,0.0,113.0,4965.0,4347.0,1.0,25.13614,30.0
969,1.0,-2.45,-0.25124124,0.0181,49.0,55.47778,0.0,111.0,4993.0,4346.0,1.0,25.124125,10.0
970,1.0,-2.45,-0.25181037,0.0182,49.0,55.033333,0.0,99.0,4953.0,4346.0,1.0,25.181038,10.0
971,1.0,-2.45,-0.2518131,0.0179,49.0,55.055557,0.0,117.0,4955.0,4347.0,1.0,25.181313,90.0
972,1.0,-2.45,-0.25093037,0.018,49.0,55.488888,0.0,57.0,4994.0,4347.0,1.0,25.093037,30.0
973,1.0,-2.45,-0.25173485,0.018,49.0,55.68889,0.0,58.0,5012.0,4347.0,1.0,25.173487,90.0
974,1.0,-2.45,-0.25126624,0.0181,49.0,55.7,0.0,65.0,5013.0,4346.0,1.0,25.126625,50.0
975,1.0,-2.45,-0.2467879,0.0042,49.0,16.3,0.0,10.0,1467.0,4346.0,1.0,24.678791,30.0
976,1.0,-2.45,-0.2508297,0.007,49.0,50.555557,0.0,18.0,4550.0,4346.0,1.0,25.08297,90.0
977,1.0,-2.45,-0.24736685,0.0035,49.0,22.744444,0.0,7.0,2047.0,4346.0,1.0,24.736685,90.0
978,1.0,-2.45,-0.24682638,0.0028,49.0,17.088888,0.0,4.0,1538.0,4349.0,1.0,24.682638,50.0
979,1.0,-2.45,-0.25118074,0.0098,49.0,53.6,0.0,27.0,4824.0,4346.0,1.0,25.118074,10.0
980,1.0,-2.45,-0.25136694,0.0128,49.0,53.9,0.0,35.0,4851.0,4346.0,1.0,25.136694,90.0
981,1.0,-2.45,-0.25152928,0.0137,49.0,53.988888,0.0,38.0,4859.0,4346.0,1.0,25.152927,10.0
982,1.0,-2.45,-0.25077718,0.0151,49.0,54.055557,0.0,42.0,4865.0,4346.0,1.0,25.077719,90.0
983,1.0,-2.45,-0.2510206,0.0178,49.0,54.88889,0.0,72.0,4940.0,4346.0,1.0,25.102062,70.0
984,1.0,-2.45,-0.25139216,0.018,49.0,55.433334,0.0,58.0,4989.0,4346.0,1.0,25.139215,10.0
985,1.0,-2.45,-0.25080687,0.0181,49.0,54.333332,0.0,86.0,4890.0,4346.0,1.0,25.080687,50.0
986,1.0,-2.45,-0.2513896,0.018,49.0,55.41111,0.0,93.0,4987.0,4346.0,1.0,25.13896,70.0
987,1.0,-2.45,-0.2512475,0.0181,49.0,55.533333,0.0,73.0,4998.0,4346.0,1.0,25.12475,30.0
988,1.0,-2.45,-0.25146276,0.0168,49.0,54.711113,0.0,46.0,4924.0,4346.0,1.0,25.146275,30.0
989,1.0,-2.45,-0.25138703,0.0172,49.0,55.38889,0.0,48.0,4985.0,4346.0,1.0,25.138702,50.0
990,1.0,-2.45,-0.25112876,0.0148,49.0,54.47778,0.0,40.0,4903.0,4346.0,1.0,25.112875,70.0
991,1.0,-2.45,-0.25147325,0.018,49.0,54.8,0.0,55.0,4932.0,4346.0,1.0,25.147326,90.0
992,1.0,-2.45,-0.2513742,0.0179,49.0,55.27778,0.0,85.0,4975.0,4346.0,1.0,25.137423,30.0
993,1.0,-2.45,-0.25146013,0.0179,49.0,54.68889,0.0,74.0,4922.0,4346.0,1.0,25.146013,90.0
994,1.0,-2.45,-0.2509597,0.0179,49.0,54.333332,0.0,112.0,4890.0,4348.0,1.0,25.095968,10.0
995,1.0,-2.45,-0.2510283,0.0101,49.0,52.27778,0.0,27.0,4705.0,4347.0,1.0,25.102829,10.0
996,1.0,-2.45,-0.25189203,0.018,49.0,54.455555,0.0,77.0,4901.0,4346.0,1.0,25.189203,10.0
997,1.0,-2.45,-0.2519061,0.018,49.0,54.566666,0.0,64.0,4911.0,4347.0,1.0,25.190609,10.0
998,1.0,-2.45,-0.25176173,0.0179,49.0,55.91111,0.0,61.0,5032.0,4346.0,1.0,25.176174,50.0
999,1.0,-2.45,-0.25145617,0.0183,49.0,54.655556,0.0,60.0,4919.0,4347.0,1.0,25.145618,70.0
1000,1.0,-2.45,-0.25106207,0.0181,49.0,55.266666,0.0,78.0,4974.0,4346.0,1.0,25.106207,30.0
1001,1.0,-2.45,-0.25125998,0.0182,49.0,55.644444,0.0,77.0,5008.0,4347.0,1.0,25.126,90.0
1002,1.0,-2.45,-0.25096,0.0119,49.0,52.97778,0.0,32.0,4768.0,4346.0,1.0,25.096,50.0
1003,1.0,-2.45,-0.25134218,0.0181,49.0,55.0,0.0,99.0,4950.0,4347.0,1.0,25.134218,30.0
1004,1.0,-2.45,-0.2504855,0.0182,49.0,54.177776,0.0,115.0,4876.0,4346.0,1.0,25.04855,90.0
1005,1.0,-2.45,-0.25165364,0.0133,49.0,53.766666,0.0,36.0,4839.0,4346.0,1.0,25.165363,30.0
1006,1.0,-2.45,-0.2503911,0.018,49.0,54.766666,0.0,118.0,4929.0,4346.0,1.0,25.03911,90.0
1007,1.0,-2.45,-0.25034186,0.0181,49.0,54.266666,0.0,96.0,4884.0,4347.0,1.0,25.034187,70.0
1008,1.0,-2.45,-0.25096455,0.0163,49.0,54.377777,0.0,45.0,4894.0,4346.0,1.0,25.096457,70.0
1009,1.0,-2.45,-0.25071073,0.0182,49.0,54.877777,0.0,66.0,4939.0,4346.0,1.0,25.071072,10.0
1010,1.0,-2.45,-0.2508603,0.0181,49.0,54.833332,0.0,80.0,4935.0,4346.0,1.0,25.086031,90.0
1011,1.0,-2.45,-0.249644,0.0059,49.0,45.866665,0.0,15.0,4128.0,4346.0,1.0,24.9644,50.0
1012,1.0,-2.45,-0.25062516,0.0114,49.0,54.055557,0.0,31.0,4865.0,4346.0,1.0,25.062515,30.0
1013,1.0,-2.45,-0.25166768,0.018,49.0,55.133335,0.0,91.0,4962.0,4347.0,1.0,25.166769,70.0
1014,1.0,-2.45,-0.2510875,0.0181,49.0,54.11111,0.0,100.0,4870.0,4346.0,1.0,25.10875,50.0
1015,1.0,-2.45,-0.25144437,0.0181,49.0,54.555557,0.0,109.0,4910.0,4348.0,1.0,25.144438,30.0
1016,1.0,-2.45,-0.25170314,0.018,49.0,54.166668,0.0,109.0,4875.0,4347.0,1.0,25.170313,10.0
1017,1.0,-2.45,-0.25117624,0.0179,49.0,54.9,0.0,115.0,4941.0,4347.0,1.0,25.117624,50.0
1018,1.0,-2.45,-0.2513191,0.0179,49.0,54.8,0.0,101.0,4932.0,4346.0,1.0,25.131912,30.0
1019,1.0,-2.45,-0.2516005,0.0181,49.0,54.577778,0.0,122.0,4912.0,4346.0,1.0,25.16005,90.0
1020,1.0,-2.45,-0.2509078,0.0177,49.0,55.27778,0.0,104.0,4975.0,4345.0,1.0,25.090782,10.0
1021,1.0,-2.45,-0.2513678,0.018,49.0,55.22222,0.0,148.0,4970.0,4346.0,1.0,25.136782,30.0
1022,1.0,-2.45,-0.2518351,0.0179,49.0,55.233334,0.0,128.0,4971.0,4346.0,1.0,25.183512,10.0
1023,1.0,-2.45,-0.25162157,0.0179,49.0,56.055557,0.0,120.0,5045.0,4346.0,1.0,25.162157,50.0
1024,1.0,-2.45,-0.2517631,0.0181,49.0,55.922222,0.0,131.0,5033.0,4347.0,1.0,25.17631,90.0
1025,1.0,-2.45,-0.25096244,0.0179,49.0,55.788887,0.0,130.0,5021.0,4346.0,1.0,25.096243,70.0
1026,1.0,-2.45,-0.251145,0.0179,49.0,54.622223,0.0,652.0,4916.0,4346.0,1.0,25.1145,30.0
1027,1.0,-2.45,-0.25065407,0.0179,49.0,54.333332,0.0,1181.0,4890.0,4346.0,1.0,25.065407,30.0
1028,1.0,-2.45,-0.25081992,0.0181,49.0,54.455555,0.0,859.0,4901.0,4346.0,1.0,25.081993,10.0
1029,1.0,-2.45,-0.25052938,0.0182,49.0,54.61111,0.0,1003.0,4915.0,4348.0,1.0,25.052937,50.0
1030,1.0,-2.45,-0.25177875,0.0179,49.0,54.77778,0.0,861.0,4930.0,4347.0,1.0,25.177876,10.0
1031,1.0,-2.45,-0.2513832,0.0179,49.0,55.355556,0.0,759.0,4982.0,4346.0,1.0,25.138319,10.0
1032,1.0,-2.45,-0.25139472,0.018,49.0,55.455555,0.0,985.0,4991.0,4346.0,1.0,25.139471,70.0
1033,1.0,-2.45,-0.25098145,0.0182,49.0,55.966667,0.0,411.0,5037.0,4346.0,1.0,25.098145,70.0
1034,1.0,-2.45,-0.25099212,0.0181,49.0,56.066666,0.0,160.0,5046.0,4346.0,1.0,25.099213,70.0
1035,1.0,-2.45,-0.25065088,0.0181,49.0,55.81111,0.0,70.0,5023.0,4346.0,1.0,25.065088,30.0
1036,1.0,-2.45,-0.25054204,0.018,49.0,56.3,0.0,252.0,5067.0,4346.0,1.0,25.054203,10.0
1037,1.0,-2.45,-0.2516806,0.0181,49.0,56.555557,0.0,91.0,5090.0,4347.0,1.0,25.168062,90.0
1038,1.0,-2.45,-0.25010577,0.0054,49.0,44.27778,0.0,14.0,3985.0,4346.0,1.0,25.010578,50.0
1039,1.0,-2.45,-0.25073665,0.0062,49.0,52.3,0.0,16.0,4707.0,4346.0,1.0,25.073666,10.0
1040,1.0,-2.45,-0.2518695,0.0179,49.0,55.511112,0.0,86.0,4996.0,4347.0,1.0,25.18695,30.0
1041,1.0,-2.45,-0.25143573,0.0179,49.0,55.81111,0.0,120.0,5023.0,4347.0,1.0,25.143572,70.0
1042,1.0,-2.45,-0.25038233,0.008,49.0,51.72222,0.0,21.0,4655.0,4346.0,1.0,25.038235,90.0
1043,1.0,-2.45,-0.25107303,0.0178,49.0,55.366665,0.0,56.0,4983.0,4346.0,1.0,25.107304,10.0
1044,1.0,-2.45,-0.25159663,0.0181,49.0,55.844444,0.0,66.0,5026.0,4346.0,1.0,25.159662,50.0
1045,1.0,-2.45,-0.2522407,0.018,49.0,55.966667,0.0,63.0,5037.0,4346.0,1.0,25.22407,70.0
1046,1.0,-2.45,-0.2517174,0.0181,49.0,56.866665,0.0,106.0,5118.0,4346.0,1.0,25.171738,30.0
1047,1.0,-2.45,-0.25144213,0.0143,49.0,55.866665,0.0,39.0,5028.0,4346.0,1.0,25.144213,90.0
1048,1.0,-2.45,-0.2513975,0.018,49.0,56.866665,0.0,101.0,5118.0,4347.0,1.0,25.13975,10.0
1049,1.0,-2.45,-0.25185448,0.0181,49.0,56.677776,0.0,109.0,5101.0,4346.0,1.0,25.185448,30.0
1050,1.0,-2.45,-0.2512807,0.0063,49.0,51.933334,0.0,16.0,4674.0,4346.0,1.0,25.128069,30.0
1051,1.0,-2.45,-0.2515911,0.009,49.0,54.5,0.0,24.0,4905.0,4346.0,1.0,25.15911,30.0
1052,1.0,-2.45,-0.25116077,0.0128,49.0,56.166668,0.0,35.0,5055.0,4347.0,1.0,25.116077,70.0
1053,1.0,-2.45,-0.24858783,0.0047,49.0,34.47778,0.0,12.0,3103.0,4346.0,1.0,24.858784,30.0
1054,1.0,-2.45,-0.25151,0.0115,49.0,55.11111,0.0,31.0,4960.0,4348.0,1.0,25.151,10.0
1055,1.0,-2.45,-0.24805367,0.0059,49.0,29.344444,0.0,15.0,2641.0,4346.0,1.0,24.805367,10.0
1056,1.0,-2.45,-0.25100282,0.018,49.0,56.166668,0.0,67.0,5055.0,4347.0,1.0,25.10028,90.0
1057,1.0,-2.45,-0.25180608,0.0179,49.0,56.27778,0.0,123.0,5065.0,4347.0,1.0,25.180609,30.0
1058,1.0,-2.45,-0.25101587,0.0183,49.0,56.288887,0.0,74.0,5066.0,4346.0,1.0,25.101587,30.0
1059,1.0,-2.45,-0.25072062,0.018,49.0,56.5,0.0,109.0,5085.0,4347.0,1.0,25.072063,90.0
1060,1.0,-2.45,-0.2510313,0.018,49.0,56.433334,0.0,65.0,5079.0,4346.0,1.0,25.10313,50.0
1061,1.0,-2.45,-0.25077125,0.018,49.0,57.0,0.0,121.0,5130.0,4346.0,1.0,25.077126,30.0
1062,1.0,-2.45,-0.2510586,0.0179,49.0,56.68889,0.0,99.0,5102.0,4346.0,1.0,25.105862,50.0
1063,1.0,-2.45,-0.25059453,0.0183,49.0,56.833332,0.0,84.0,5115.0,4347.0,1.0,25.059454,10.0
1064,1.0,-2.45,-0.2509281,0.0182,49.0,56.966667,0.0,83.0,5127.0,4347.0,1.0,25.09281,50.0
1065,1.0,-2.45,-0.25078586,0.018,49.0,57.144444,0.0,67.0,5143.0,4347.0,1.0,25.078587,70.0
1066,1.0,-2.45,-0.25043574,0.016,49.0,56.844444,0.0,44.0,5116.0,4346.0,1.0,25.043575,50.0
1067,1.0,-2.45,-0.25097907,0.015,49.0,55.944443,0.0,41.0,5035.0,4346.0,1.0,25.097906,10.0
1068,1.0,-2.45,-0.2509877,0.0105,49.0,54.58889,0.0,28.0,4913.0,4346.0,1.0,25.098772,90.0
1069,1.0,-2.45,-0.25197676,0.0179,49.0,56.377777,0.0,121.0,5074.0,4346.0,1.0,25.197676,90.0
1070,1.0,-2.45,-0.25209224,0.0178,49.0,57.31111,0.0,119.0,5158.0,4346.0,1.0,25.209225,50.0
1071,1.0,-2.45,-0.25107425,0.0115,49.0,55.377777,0.0,31.0,4984.0,4346.0,1.0,25.107426,30.0
1072,1.0,-2.45,-0.25192973,0.018,49.0,57.3,0.0,130.0,5157.0,4346.0,1.0,25.192972,70.0
1073,1.0,-2.45,-0.25048676,0.0181,49.0,57.377777,0.0,111.0,5164.0,4346.0,1.0,25.048676,10.0
1074,1.0,-2.45,-0.25256994,0.0179,49.0,57.266666,0.0,64.0,5154.0,4346.0,1.0,25.256994,30.0
